Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.23     0.00   614700     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<int, false> >::max_size() const
  0.00      0.23     0.00   614700     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_node(unsigned long, int const&, unsigned long) const
  0.00      0.23     0.00   614700     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_before_node(unsigned long, int const&, unsigned long) const
  0.00      0.23     0.00   614700     0.00     0.00  std::__detail::_Hash_node<int, false>* std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >::operator()<int const&>(int const&) const
  0.00      0.23     0.00   614700     0.00     0.00  std::__detail::_Node_iterator<int, true, false>::operator*() const
  0.00      0.23     0.00   614700     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00      0.23     0.00   614700     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_store_code(std::__detail::_Hash_node<int, false>*, unsigned long) const
  0.00      0.23     0.00   614700     0.00     0.00  std::__detail::_Prime_rehash_policy::_M_state() const
  0.00      0.23     0.00   614700     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<int, false>*, unsigned long)
  0.00      0.23     0.00   614700     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_bucket_begin(unsigned long, std::__detail::_Hash_node<int, false>*)
  0.00      0.23     0.00   614700     0.00     0.00  std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert<int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int const&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&, std::integral_constant<bool, true>, unsigned long)
  0.00      0.23     0.00   614700     0.00     0.00  std::unordered_set<int, std::hash<int>, std::equal_to<int>, std::allocator<int> >::insert(int const&)
  0.00      0.23     0.00   614700     0.00     0.00  std::pointer_traits<std::__detail::_Hash_node<int, false>*>::pointer_to(std::__detail::_Hash_node<int, false>&)
  0.00      0.23     0.00   614700     0.00     0.00  std::allocator_traits<std::allocator<std::__detail::_Hash_node<int, false> > >::deallocate(std::allocator<std::__detail::_Hash_node<int, false> >&, std::__detail::_Hash_node<int, false>*, unsigned long)
  0.00      0.23     0.00   614700     0.00     0.00  void std::allocator_traits<std::allocator<std::__detail::_Hash_node<int, false> > >::destroy<int>(std::allocator<std::__detail::_Hash_node<int, false> >&, int*)
  0.00      0.23     0.00   614700     0.00     0.00  std::allocator_traits<std::allocator<std::__detail::_Hash_node<int, false> > >::allocate(std::allocator<std::__detail::_Hash_node<int, false> >&, unsigned long)
  0.00      0.23     0.00   614700     0.00     0.00  void std::allocator_traits<std::allocator<std::__detail::_Hash_node<int, false> > >::construct<int, int const&>(std::allocator<std::__detail::_Hash_node<int, false> >&, int*, int const&)
  0.00      0.23     0.00   614700     0.00     0.00  std::pair<std::__detail::_Node_iterator<int, true, false>, bool>::pair<std::__detail::_Node_iterator<int, true, false>, bool, true>(std::__detail::_Node_iterator<int, true, false>&&, bool&&)
  0.00      0.23     0.00   614700     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::operator[](unsigned long)
  0.00      0.23     0.00   614700     0.00     0.00  std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >::_AllocNode(std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >&)
  0.00      0.23     0.00   614700     0.00     0.00  std::__detail::_Hash_node<int, false>::_Hash_node()
  0.00      0.23     0.00   614700     0.00     0.00  std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_conjure_hashtable()
  0.00      0.23     0.00   614700     0.00     0.00  std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::insert(int const&)
  0.00      0.23     0.00   614700     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_deallocate_node(std::__detail::_Hash_node<int, false>*)
  0.00      0.23     0.00   614700     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_deallocate_node_ptr(std::__detail::_Hash_node<int, false>*)
  0.00      0.23     0.00   614700     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_Hash_node_value_base()
  0.00      0.23     0.00   614700     0.00     0.00  std::__detail::_Hash_node<int, false>* std::__addressof<std::__detail::_Hash_node<int, false> >(std::__detail::_Hash_node<int, false>&)
  0.00      0.23     0.00   614700     0.00     0.00  std::__detail::_Hash_node<int, false>* std::__to_address<std::__detail::_Hash_node<int, false> >(std::__detail::_Hash_node<int, false>*)
